feature_id,property_id,full_address,lga_code,state,postcode
50952434,1525674,8 CLOVERLEIGH AVENUE EMERALD 3782,311,VIC,3782
54526239,52858603,BOGONG HIGH PLAINS ROAD BOGONG 3699,300,VIC,3699
53398641,45453823,UPPER HUMFFRAY ROAD SELWYN 3737,300,VIC,3737
204878365,204878364,24-32 WESTPOOL DRIVE HALLAM 3803,312,VIC,3803
205761724,205761723,5 MARIJA CRESCENT BERWICK 3806,312,VIC,3806
150490813,150490812,10 ELLABELLA WAY MORNINGTON 3931,352,VIC,3931
53083037,52499035,VICTORIA RIVER TRACK COBUNGRA 3898,300,VIC,3898
52163943,2047298,8 LANGBOURNE DRIVE NARRE WARREN SOUTH 3805,312,VIC,3805
50563074,1451675,7 MORRISONS AVENUE MOUNT MARTHA 3934,352,VIC,3934
51654994,1162737,6 JENSEN COURT CRIB POINT 3919,352,VIC,3919
52082491,1511510,265 BESSIE CREEK ROAD NAR NAR GOON NORTH 3812,311,VIC,3812
50201469,1165851,42 PACIFIC DRIVE BALNARRING 3926,352,VIC,3926
50992325,1166627,26 PINEWOOD DRIVE HASTINGS 3915,352,VIC,3915
51922914,1166044,41 PARK LANE SOMERVILLE 3912,352,VIC,3912
209403681,209403680,36 GREENAWAY TERRACE CRANBOURNE EAST 3977,312,VIC,3977
53369146,5281066,12 PRENDERGAST STREET WEST WODONGA 3690,374,VIC,3690
173669950,173669948,17 THE GATEWAY BERWICK 3806,312,VIC,3806
50544600,1454636,35 QUEEN STREET MORNINGTON 3931,352,VIC,3931
51706765,1623061,15 HEROES AVENUE EMERALD 3782,311,VIC,3782
51279351,1163410,2 LANCASTER COURT SOMERVILLE 3912,352,VIC,3912
