id,lga_code,council_property_number,longitude,latitude
1525674,311,2188100300,145.449895817713013,-37.9373447811622029
52858603,300,7567,147.19769273,-36.7850343050000035
45453823,300,,146.941079580424997,-37.1029747328265032
204878364,312,99936,145.263600794538007,-38.013173842267399
205761723,312,97563,145.334754695771011,-38.0692907715628976
150490812,352,114673,145.068803478816989,-38.2410249883673998
52499035,300,,147.372837561945005,-37.0990581971857978
2047298,312,67059,145.28497674994199,-38.0567898119630001
1451675,352,77527,145.029728402703995,-38.2517901631683017
1162737,352,81707,145.19064169678299,-38.3495168499272978
1511510,311,1094500500,145.566678093339988,-38.0463154535569998
1165851,352,82916,145.114365892253005,-38.3720369257350029
1166627,352,88698,145.186315102097012,-38.3014308974540967
1166044,352,92996,145.177406279514997,-38.2319676862907016
209403680,312,101318,145.301882269906997,-38.1109329799825005
5281066,374,312147,146.84519550780999,-36.1371208068458003
173669948,312,62766,145.318763630917999,-38.0208603534190033
1454636,352,60413,145.034879485792999,-38.2204139888351975
1623061,311,2387900700,145.444291599465004,-37.9325840055048005
1163410,352,92513,145.164874472234004,-38.2268608616353021
